IT Indicated in Gold,"System
Policy/Standard/Guideline",Type,Priority,Confirmed in Gold (Validated),SCI Point of Contact ,Analyst,Application,Specialty/Primary Impacted Dept./Discipline,Specialized Workflow Needed?,Brief Details,Link to Policy/ Guideline ,Intake Slide,"Link to Document/ 
EHR Requirements",System Sponsor,Comments/Follow-up,CSH Standards of Practice - https://sites.google.com/commonspirit.org/nnpatientcareservices/home/professional-practice/standards-of-practice,,,
,"Details
Will require multiple modules (ASAP, Interventional Radiology, Lumens, all Procedural areas). 5-10 hours of updates for each impacted team.  Will require update to procedral narrators and Sedation Narrator",Policy,1,No,Sherry Brennaman,,Clin Doc,Provider/Nursing,Yes,"Details
Will require multiple modules (ASAP, Interventional Radiology, Lumens, all Procedural areas)",Moderate and Deep Sedation SCI Workbook,,,,,,,,
,Point Click Care (State of Washington-EDIE (ED Information Exchange for WA State),Epic Best Practice,1,Yes,Sherry Brennaman ,,Clin Doc / Orders / Willow,Provider/Nursing/Pharmacy,Yes,Care Coordination is requesting to be included in this work,,,,,,,,,
,HAPI ,Policy,1,Yes,Trudy Finch,,Clin Doc / Orders,Provider/Nursing,Yes,,Facility Template Policy - Hospital Acquired Pressure Injury (HAPI) Management EDITED.pdf,,https://drive.google.com/drive/folders/1JlJahX8YcyVko8eoEKoS0iyyDbiPq_g3?usp=drive_link,,,,,,
,Chemo Policy,Policy,1,Yes,Trudy Finch,,Oncology,Oncology,No,Work with Yvette,Antineoplastic -Chemotherapy - Immunotherapy- Prescribing and Administration for Oncology Indications POLICY- Clinical A-027.pdf,Antineoplastic -Chemotherapy - Immunotherapy- Prescribing and Administration for Oncology Indications PROCEDURE- Clinical A-027P.pdf,,,,,,,
Yes,Vesicants,Policy,1,Yes,Van Nguyen,,Clin Doc / Orders / Willow,Provider/Nursing/Pharmacy,Yes with Extravasation,vesicant meds identifed on the MAR,Alpha--Vesicant List Extravasation - Management and Treatment Guidance.docx,,,,,,,,
,Oncology Flowsheet,CAT Decisions,1,Yes,Yvette Kirk,,Oncology,,Yes,Chemo Admin,,,,Lise/Marcia,Submitted viaTask Force,,,,
,CMU Virtual Telemetry - GE Carescape/Ascom,Project,2,,Brooke Snow,,Clin Doc / Orders,Provider/Nursing,Yes,Virtual Telemetry units monitored from CareBase in AZ,Project number: 1014176_0011081,,,Gail Daily,,,,,
,Virtually Integrated Care,Best Practice,2,,Brooke Snow,,Clin Doc / Orders,Provider/Nursing,Yes,Security Set up to identify virtual nurses,,,,,,,,,
,SDOH,Guidelines,2,No,Marty Koepke,,Clin Doc,Patient Care Services,Yes,Missing OPA for SW when safety responses are positive. ,,,,,"""For Non Harm questions > when Pt responds YES that they want a community, we need an OPA > Referral to SW. Community resource link needs to be available in Social Drivers to support WFs adding community resources to After Visit Summary. When SDOH driver responses score high enough across any/all domains an OPA fires for referral to SW. 
Should we adopt this for Gold?
Previous Decision made?

""",,,,
,Sepsis Protocol,Guideline,2,,Marisa Radick,,Clin Doc / Orders,Provider/Nursing,Yes,,https://commonspirit-national.policystat.com/policy/18612396/latest#autoid-z4rar,,,Brenda Downs,,,,,
,Preferred Language,Policy,2,Yes,Marisa Radick,,Nursing,Patient Care Services,No,Ensuring the threshold languages are built in Gold,,,,Lisa Macri,See tab for missing languages,,,,
,Critical Care - Standard of Practice,,2,,Marisa Radick & Brooke Snow,,,Nursing,No,,"https://sites.google.com/commonspirit.org/nnpatientcareservices/home/professional-practice/standards-of-practice

CommonSpirit Critical Care Nursing Standards of Practice Final-Approved Header.docx",,,,,,,,
,RT Pulmonary Mechanics,Requested by System Leader,2,,Marty Koepke,,Clin Doc,RT,Yes?,Work with Gold Analysts and System leaders for details,,,,,,,,,
,Drug Screen Order for OB,Ticket # ,2,,Melissa,,Stork,OB,Yes,,,,,Mindy Foster,Submitted viaTask Force,,,,
,Admit to NICU- precheck Vitamin K,Ticket # ,2,,Melissa,,Stork,NICU,No,From SCOPE - Talk Diedre about details,,Mountain Admit to Neonatal ICU order set updates,,,,,,,
,National Numbers on AVS,Requested by System Individual,2,,Melissa Plummer,,Clin Doc,Nursing,No,List of standard national numbers needed on AVS,National Hotline Numbers- Epic Gold,,,Holly Gibbs/ Connie,"Submitted viaTask Force-Check what is built, f/u with Tiff",,,,
,Outpatient in a bed,Requested by System VP Care Coordination,2,,Melissa Plummer,,Clin Doc,Care Coordination/Provider,Yes,Single order for outpatient in a bed,Copy of OIB Guidance - Final.docx,,,Gail Moxley,Submitted viaTask Force-does it match current updates to guideline?,,,,
,OralKleen (Comprehensive Oral Care),Policy,2,No,Sherry Brennaman,,Clin Doc,Nursing,No,Missing 2 options in Oral Care respose. Being updated for Wave 3.,Comprehensive Oral Care SCI Workbook,,,,,,,,
,Antimicrobial Prophylaxis Guidelines,Guidelines,2,No,Van ,,Willow / Orders,Pharmacy,No,,,,,,,,,,
,REMS Medications and Denials,,2,No,Van ,,Willow,Pharmacy,No,this was not approved to be built in any envionrment yet. not in MTN in current state so not slated for GOLD. DMND0007976 is assigned 4- low priority at this time,,,,,,,,,
,Quality Reporting,,2,,Team,,,Quality,No,Top 25 Quality Reports,Quality Priority Reporting Build Review-Epic Gold New Instance ,,,Tracy Sklarr,"Due on February 6, 2026",,,,
,Epic Denial Work Queue,Ticket # ,3,,Marisa Radick,,Grand Central/ Prelude?,Rev Cycle,,,,Epic Denial Work Queue Intake Slides,,Diane Pirak,,,,,
,HAPI RT Devices,System Request,N/A,,Marty Koepke,,Clin Doc,RT,No,Awaiting Final Design for Epic,,,,,,,,Epic Gold ->,Drive
,Harm to Others Policy,Policy,N/A,,,,Clin Doc,BHU/Nursing,Yes,Awaiting Final Design - Let's make sure ,,,,Paul Rains,Design Not Complete,,,,
